SYMBOL,NAME OF COMPANY, SERIES, DATE OF LISTING, PAID UP VALUE, MARKET LOT, ISIN NUMBER, FACE VALUE,ISIN_CLEAN,LISTING_SOURCE,Security Code,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument
HONDAPOWER,Honda India Power Products Limited,EQ,01-APR-2003,10.0,1.0,INE634A01018,10.0,INE634A01018,BOTH,522064.0,HONDAPOWER,HONDA SIEL POWER PRODUCTS LTD.,Active,B ,10.0,INE634A01018,Industrial Machinery,Equity
HPL,HPL Electric & Power Limited,EQ,04-OCT-2016,10.0,1.0,INE495S01016,10.0,INE495S01016,BOTH,540136.0,HPL,HPL Electric &amp; Power Ltd,Active,B ,10.0,INE495S01016,Heavy Electrical Equipment,Equity
HSCL,Himadri Speciality Chemical Limited,EQ,02-MAR-2007,1.0,1.0,INE019C01026,1.0,INE019C01026,BOTH,500184.0,HSCL,Himadri Speciality Chemical Ltd,Active,B ,1.0,INE019C01026,Specialty Chemicals,Equity
HTMEDIA,HT Media Limited,EQ,01-SEP-2005,2.0,1.0,INE501G01024,2.0,INE501G01024,BOTH,532662.0,HTMEDIA,HT MEDIA LTD.,Active,B ,2.0,INE501G01024,Publishing,Equity
HUBTOWN,Hubtown Limited,EQ,07-FEB-2007,10.0,1.0,INE703H01016,10.0,INE703H01016,BOTH,532799.0,HUBTOWN,HUBTOWN LTD.,Active,B ,10.0,INE703H01016,Realty,Equity
HUDCO,Housing & Urban Development Corporation Limited,EQ,19-MAY-2017,10.0,1.0,INE031A01017,10.0,INE031A01017,BOTH,540530.0,HUDCO,Housing and Urban Development Corporation Ltd,Active,B ,10.0,INE031A01017,Housing Finance ,Equity
HUHTAMAKI,Huhtamaki India Limited,EQ,01-OCT-2004,2.0,1.0,INE275B01026,2.0,INE275B01026,BOTH,509820.0,PAPERPROD,Huhtamaki PPL Limited,Active,B ,2.0,INE275B01026,Containers &amp; Packaging,Equity
IBULLSLTD,Indiabulls Limited,EQ,18-AUG-2011,2.0,1.0,INE126M01010,2.0,INE126M01010,BOTH,533520.0,SORILHOLD,SORIL Holdings and Ventures Ltd,Active,T ,2.0,INE126M01010,Comm.Trading  &amp; Distribution,Equity
ICDSLTD,ICDS Limited,EQ,17-NOV-1999,10.0,1.0,INE613B01010,10.0,INE613B01010,BOTH,511194.0,ICDSLTD,ICDS LTD.,Suspended,B ,10.0,INE613B01010,Finance (including NBFCs),Equity
ICICIBANK,ICICI Bank Limited,EQ,17-SEP-1997,2.0,1.0,INE090A01021,2.0,INE090A01021,BOTH,532174.0,ICICIBANK,ICICI BANK LTD.,Active,A ,2.0,INE090A01021,Banks,Equity
