SYMBOL,NAME OF COMPANY, SERIES, DATE OF LISTING, PAID UP VALUE, MARKET LOT, ISIN NUMBER, FACE VALUE,ISIN_CLEAN,Security Code,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument,LISTING_SOURCE
AMBICAAGAR,Ambica Agarbathies & Aroma industries Limited,EQ,29-JUN-2004,10,1,INE792B01012,10,INE792B01012,532335,AMBICAAGAR,AMBICA AGARBATHIES &amp; AROMA INDUSTRIES LTD.,Suspended,Z ,10.0,INE792B01012,Comm.Trading  &amp; Distribution,Equity,BOTH
AMBIKCO,Ambika Cotton Mills Limited,EQ,29-JAN-2008,10,1,INE540G01014,10,INE540G01014,531978,AMBIKCO,AMBIKA COTTON MILLS LTD.,Active,B ,10.0,INE540G01014,Textiles,Equity,BOTH
AMBUJACEM,Ambuja Cements Limited,EQ,18-FEB-1998,2,1,INE079A01024,2,INE079A01024,500425,AMBUJACEM,AMBUJA CEMENTS LTD.,Active,A ,2.0,INE079A01024,Cement &amp; Cement Products,Equity,BOTH
AMDIND,AMD Industries Limited,EQ,19-MAR-2007,10,1,INE005I01014,10,INE005I01014,532828,AMDIND,AMD INDUSTRIES LTD.,Active,B ,10.0,INE005I01014,Other Industrial Goods,Equity,BOTH
AMJLAND,Amj Land Holdings Limited,EQ,08-FEB-1995,2,1,INE606A01024,2,INE606A01024,500343,PDUMJEPULP,PUDUMJEE PULP &amp; PAPER MILLS LTD.,Active,B ,2.0,INE606A01024,Paper &amp; Paper Products,Equity,BOTH
ANANTRAJ,Anant Raj Limited,EQ,27-SEP-2006,2,1,INE242C01024,2,INE242C01024,515055,ANANTRAJ,Anant Raj Limited-$,Active,B ,2.0,INE242C01024,Realty,Equity,BOTH
ANIKINDS,Anik Industries Limited,EQ,21-MAY-2008,10,1,INE087B01017,10,INE087B01017,519383,ANIKINDS,ANIK INDUSTRIES LTD.,Active,B ,10.0,INE087B01017,Other Agricultural Products,Equity,BOTH
ANKITMETAL,Ankit Metal & Power Limited,BZ,14-MAR-2013,10,1,INE106I01010,10,INE106I01010,532870,ANKITMETAL,ANKIT METAL &amp; POWER LTD.,Suspended,T ,10.0,INE106I01010,Iron &amp; Steel/Interm.Products,Equity,BOTH
ANSALAPI,Ansal Properties & Infrastructure Limited,BZ,27-JAN-2006,5,1,INE436A01026,5,INE436A01026,500013,ANSALAPI,ANSAL PROPERTIES &amp; INFRASTRUCTURE LTD.,Active,B ,5.0,INE436A01026,Realty,Equity,BOTH
ANTELOPUS,Antelopus Selan Energy Limited,EQ,26-SEP-2006,10,1,INE818A01017,10,INE818A01017,530075,SELAN,SELAN EXPLORATION TECHNOLOGY LTD.-$,Active,T ,10.0,INE818A01017,Exploration &amp; Production,Equity,BOTH
ANTGRAPHIC,Antarctica Limited,EQ,31-DEC-1997,1,1,INE414B01021,1,INE414B01021,526715,ANTARTICL,ANTARCTICA LTD.,Delisted,B ,1.0,INE414B01021,,Equity,BOTH
APARINDS,Apar Industries Limited,EQ,12-JUL-2004,10,1,INE372A01015,10,INE372A01015,523377,GUJAP,APAR INDUSTRIES LTD.,Delisted,Z ,10.0,INE372A01015,,Equity,BOTH
APARINDS,Apar Industries Limited,EQ,12-JUL-2004,10,1,INE372A01015,10,INE372A01015,532259,APARINDS,APAR INDUSTRIES LTD.,Active,B ,10.0,INE372A01015,Other Elect.Equip./ Prod.,Equity,BOTH
APCL,Anjani Portland Cement Limited,EQ,10-APR-2017,10,1,INE071F01012,10,INE071F01012,518091,APCL,ANJANI PORTLAND CEMENT LTD.-$,Active,B ,10.0,INE071F01012,Cement &amp; Cement Products,Equity,BOTH
