SYMBOL,NAME OF COMPANY, SERIES, DATE OF LISTING, PAID UP VALUE, MARKET LOT, ISIN NUMBER, FACE VALUE,ISIN_CLEAN,LISTING_SOURCE
EUROBOND,Euro Panel Products Limited,EQ,01-AUG-2025,10,1,INE505V01016,10,INE505V01016,NSE_ONLY
EUROPRATIK,Euro Pratik Sales Limited,EQ,23-SEP-2025,1,1,INE198501012,1,INE198501012,NSE_ONLY
EXCEL,Excel Realty N Infra Limited,EQ,03-AUG-2009,1,1,INE688J01023,1,INE688J01023,NSE_ONLY
EXCELSOFT,Excelsoft Technologies Limited,EQ,26-NOV-2025,10,1,INE606N01019,10,INE606N01019,NSE_ONLY
EXICOM,Exicom Tele-Systems Limited,EQ,05-MAR-2024,10,1,INE777F01014,10,INE777F01014,NSE_ONLY
EXXARO,Exxaro Tiles Limited,BE,16-AUG-2021,1,1,INE0GFE01026,1,INE0GFE01026,NSE_ONLY
FABTECH,Fabtech Technologies Limited,EQ,07-OCT-2025,10,1,INE0HF201011,10,INE0HF201011,NSE_ONLY
FAIRCHEMOR,Fairchem Organics Limited,EQ,24-DEC-2020,10,1,INE0DNW01011,10,INE0DNW01011,NSE_ONLY
FAZE3Q,Faze Three Limited,EQ,18-NOV-2022,10,1,INE963C01033,10,INE963C01033,NSE_ONLY
FCL,Fineotex Chemical Limited,EQ,15-JAN-2015,1,1,INE045J01034,1,INE045J01034,NSE_ONLY
FEDFINA,Fedbank Financial Services Limited,EQ,30-NOV-2023,10,1,INE007N01010,10,INE007N01010,NSE_ONLY
FIBERWEB,Fiberweb (India) Limited,EQ,16-FEB-2022,10,1,INE296C01020,10,INE296C01020,NSE_ONLY
FILATEX,Filatex India Limited,EQ,29-AUG-2011,1,1,INE816B01035,1,INE816B01035,NSE_ONLY
FILATFASH,Filatex Fashions Limited,EQ,06-MAY-2024,1,1,INE185E01021,1,INE185E01021,NSE_ONLY
FINEORG,Fine Organic Industries Limited,EQ,02-JUL-2018,5,1,INE686Y01026,5,INE686Y01026,NSE_ONLY
FINOPB,Fino Payments Bank Limited,EQ,12-NOV-2021,10,1,INE02NC01014,10,INE02NC01014,NSE_ONLY
FINPIPE,Finolex Industries Limited,EQ,08-FEB-1995,2,1,INE183A01024,2,INE183A01024,NSE_ONLY
FIRSTCRY,Brainbees Solutions Limited,EQ,13-AUG-2024,2,1,INE02RE01045,2,INE02RE01045,NSE_ONLY
FISCHER,Fischer Medical Ventures Limited,EQ,10-JUL-2025,1,1,INE771F01041,1,INE771F01041,NSE_ONLY
FIVESTAR,Five-Star Business Finance Limited,EQ,21-NOV-2022,1,1,INE128S01021,1,INE128S01021,NSE_ONLY
FLAIR,Flair Writing Industries Limited,EQ,01-DEC-2023,5,1,INE00Y201027,5,INE00Y201027,NSE_ONLY
FLUOROCHEM,Gujarat Fluorochemicals Limited,EQ,16-OCT-2019,1,1,INE09N301011,1,INE09N301011,NSE_ONLY
FOCUS,Focus Lighting and Fixtures Limited,EQ,24-NOV-2021,2,1,INE593W01028,2,INE593W01028,NSE_ONLY
FOODSIN,Foods & Inns Limited,EQ,16-NOV-2021,1,1,INE976E01023,1,INE976E01023,NSE_ONLY
FUSION,Fusion Finance Limited,EQ,15-NOV-2022,10,1,INE139R01012,10,INE139R01012,NSE_ONLY
GAEL,Gujarat Ambuja Exports Limited,EQ,11-OCT-2000,1,1,INE036B01030,1,INE036B01030,NSE_ONLY
GALAPREC,Gala Precision Engineering Limited,EQ,09-SEP-2024,10,1,INE0RE001014,10,INE0RE001014,NSE_ONLY
GALAXYSURF,Galaxy Surfactants Limited,EQ,08-FEB-2018,10,1,INE600K01018,10,INE600K01018,NSE_ONLY
GANDHAR,Gandhar Oil Refinery (India) Limited,EQ,30-NOV-2023,2,1,INE717W01049,2,INE717W01049,NSE_ONLY
GANESHBE,Ganesh Benzoplast Limited,EQ,16-SEP-2021,1,1,INE388A01029,1,INE388A01029,NSE_ONLY
GANESHCP,Ganesh Consumer Products Limited,EQ,29-SEP-2025,10,1,INE652V01016,10,INE652V01016,NSE_ONLY
GANGAFORGE,Ganga Forging Limited,EQ,06-JUL-2021,1,1,INE691Z01023,1,INE691Z01023,NSE_ONLY
GARUDA,Garuda Construction and Engineering Limited,EQ,15-OCT-2024,5,1,INE0JVO01026,5,INE0JVO01026,NSE_ONLY
GATEWAY,Gateway Distriparks Limited,EQ,22-MAR-2022,10,1,INE079J01017,10,INE079J01017,NSE_ONLY
GAYAHWS,Gayatri Highways Limited,BE,28-JUN-2018,2,1,INE287Z01012,2,INE287Z01012,NSE_ONLY
GCSL,Gretex Corporate Services Limited,BE,04-SEP-2025,10,1,INE199P01028,10,INE199P01028,NSE_ONLY
GEEKAYWIRE,Geekay Wires Limited,EQ,06-MAR-2020,1,1,INE669X01032,1,INE669X01032,NSE_ONLY
GEMAROMA,Gem Aromatics Limited,EQ,26-AUG-2025,2,1,INE06XZ01023,2,INE06XZ01023,NSE_ONLY
GENCON,Generic Engineering Construction and Projects Limited,EQ,16-FEB-2021,5,1,INE854S01022,5,INE854S01022,NSE_ONLY
GENSOL,Gensol Engineering Limited,BZ,03-JUL-2023,10,1,INE06H201014,10,INE06H201014,NSE_ONLY
GHCLTEXTIL,GHCL Textiles Limited,EQ,12-JUN-2023,2,1,INE0PA801013,2,INE0PA801013,NSE_ONLY
GKENERGY,GK Energy Limited,EQ,26-SEP-2025,2,1,INE1AG301022,2,INE1AG301022,NSE_ONLY
GKWLIMITED,GKW Limited,EQ,20-JUL-2009,10,1,INE528A01020,10,INE528A01020,NSE_ONLY
GLAND,Gland Pharma Limited,EQ,20-NOV-2020,1,1,INE068V01023,1,INE068V01023,NSE_ONLY
GLOBAL,Global Education Limited,BE,07-DEC-2020,2,1,INE291W01037,2,INE291W01037,NSE_ONLY
